type,title,director,cast,release_year,rating,listed_in
0,65,1066,3264,2019,1,386
0,575,172,5659,2017,1,414
0,2944,1868,1135,2020,3,62
1,5472,1066,4954,2012,2,307
0,958,886,1362,2019,1,255
0,793,831,1228,2014,0,30
0,543,2667,3593,2017,3,275
0,3639,2207,580,2019,3,226
0,6966,2489,2446,2021,1,220
0,5684,176,3536,2014,0,6
0,5026,1673,453,2015,3,49
0,6156,4076,2505,2020,3,334
0,2694,105,68,2012,2,452
0,6933,1501,1972,2018,1,220
0,3037,2754,1362,2020,1,414
0,2834,189,5124,2021,3,314
0,5885,3383,4582,2020,0,6
0,3324,2559,2936,2015,1,286
1,2968,1066,1362,2019,2,411
0,1819,3870,2863,2020,3,262
1,4632,1066,1362,2017,1,128
0,1121,3551,3801,2007,2,187
0,5102,2892,2852,2021,3,49
0,1384,583,972,2019,3,191
0,4268,3183,1362,2015,3,305
1,873,1066,4989,2019,2,305
0,2617,491,27,2019,3,430
0,5381,1562,3134,2017,3,239
1,6562,1066,1362,2021,3,445
1,5154,1066,2483,2017,3,305
0,4470,1491,4793,2018,3,339
1,2240,1066,331,2009,1,128
0,4473,269,371,2019,3,30
1,1202,1066,4525,2021,3,290
0,5966,1998,3579,2020,3,422
0,6790,38,5042,2019,3,249
0,969,615,900,2018,3,306
1,2993,1066,3319,2021,3,0
0,6098,1054,1359,2019,3,191
0,2014,3738,4471,2020,3,165
0,3171,23,3007,2018,1,414
0,4681,1608,2697,2020,3,337
1,7001,1066,4818,2017,3,449
0,2821,3609,218,2014,3,233
1,1429,1066,3029,2006,1,414
0,6503,4162,708,2007,3,436
0,6134,555,3599,2014,3,452
0,5002,378,386,2015,3,262
1,2270,1066,4001,2013,3,233
0,6330,3256,713,2020,3,368
0,1126,1941,789,2020,0,13
0,4884,390,2022,2021,3,58
0,3074,329,3806,2021,3,220
1,1010,1066,2860,2020,3,141
0,7227,3755,4455,2011,3,66
0,897,2859,1763,2015,1,73
1,4634,1066,1362,2015,1,128
1,3083,1066,2301,2020,3,182
1,13,1066,911,2021,3,389
0,5549,2010,5424,2019,3,239
0,900,2498,1352,2012,0,400
0,1948,3978,1064,2009,2,369
0,3315,706,5562,2021,3,276
1,606,1066,1570,2019,0,314
0,565,378,387,2014,3,430
1,3287,1066,3487,2019,2,449
1,6025,1066,1882,2017,3,419
0,3646,1309,1908,2020,3,303
0,3447,1066,1362,2016,1,414
0,913,1066,1362,2019,1,414
1,3758,1066,3424,2021,3,270
0,7143,1786,2119,2008,3,296
1,6728,1066,1544,2020,3,314
0,6399,2821,1506,2009,2,400
0,4752,3395,680,2021,3,357
1,2492,1066,1362,2021,1,414
0,2067,2175,133,2021,3,314
0,5764,249,5250,2005,3,314
0,6713,1399,3598,2021,3,80
0,7185,2470,412,2016,1,389
0,4212,1137,2597,2016,2,315
0,6189,2435,5531,2005,0,0
0,4348,2373,1241,2019,3,337
1,1091,1066,1362,2021,1,128
0,3900,4116,309,2020,3,226
0,5077,42,4601,2021,3,191
0,6585,1761,1362,2013,3,291
0,411,2935,813,2020,3,314
0,6614,3915,5291,2012,3,275
1,2216,1066,1362,2021,3,308
0,5324,3240,1805,2009,3,123
0,3942,2623,1289,2019,3,310
1,110,1066,1362,2018,3,449
0,3154,777,4939,2021,3,357
0,1315,3569,4741,2019,0,239
0,169,1891,4907,2019,2,6
0,5517,911,3832,2013,3,200
0,4688,3077,1362,2021,1,128
1,806,1066,2033,2021,1,128
0,1478,1066,1362,2015,1,414
0,328,2463,4490,2019,1,417
0,6863,2279,2547,2020,3,26
0,6194,1334,4868,2014,3,53
0,4782,2862,3875,2020,3,220
0,1796,3548,1568,2021,3,400
0,4723,2563,656,2014,0,155
0,3625,3435,15,2017,3,230
1,5847,1066,3631,2007,2,220
0,4817,2470,1362,2012,1,439
0,3337,3247,301,2019,2,220
1,6355,1066,2431,2014,3,305
1,2549,1066,5657,2021,3,449
0,1171,1115,3716,2014,3,85
0,1248,655,1362,2015,3,305
0,1312,193,1362,2016,3,0
1,495,1066,605,2018,3,306
0,314,2470,1362,2013,1,439
0,6571,4049,4857,2005,3,86
1,6424,1066,2412,2021,3,66
1,1175,1066,3308,2015,3,128
0,5605,3057,697,2017,1,55
0,906,1085,2832,2019,0,430
1,5902,1066,1362,2016,3,449
0,2637,2389,5622,2015,3,99
0,6843,2750,3769,2020,3,61
0,3067,2129,5509,2009,3,57
0,5782,2014,2616,2017,1,285
0,1556,897,2965,2021,3,220
0,4570,1895,4077,2015,3,191
0,6302,2730,4421,2012,3,275
1,618,1066,81,2017,1,414
0,6732,1735,793,2015,0,314
0,5442,3774,1157,2018,3,368
0,2868,1066,850,2008,0,220
0,4959,973,101,2006,0,391
0,838,2305,3523,2021,3,68
1,2556,1066,1298,2014,3,369
0,6356,2066,2561,2013,1,287
0,4511,3060,4480,2012,3,49
0,3499,2829,3443,2021,3,30
0,4410,1955,4821,2021,3,314
0,1666,3695,4130,2017,3,369
1,4569,1066,1362,2005,1,119
1,3420,1066,108,2019,1,439
1,1349,1066,3245,2018,1,146
0,2288,149,5240,2011,3,357
0,3804,1010,3396,2016,3,220
1,5919,1066,5646,2020,3,30
0,1615,355,1139,2021,1,128
0,4839,1194,2506,2010,1,414
0,1447,1672,1550,2006,3,391
1,5774,1066,1362,2013,1,439
1,532,1066,584,2012,2,305
0,548,1762,1362,2021,3,275
0,5783,3872,3913,2021,3,314
0,5452,1121,1624,2016,3,369
1,2785,1066,74,2021,3,226
1,825,1066,1637,2019,1,128
0,6195,3405,3028,2021,3,400
0,1929,1764,3695,2021,3,314
0,2134,2876,4669,2013,0,80
1,2560,1066,4039,2017,1,305
0,7123,620,1362,2019,1,414
0,3807,4068,3414,2021,0,195
1,6602,1066,637,2020,3,249
1,5033,1066,1362,2010,2,449
1,2961,1066,2211,2011,2,369
0,3512,1858,705,2021,3,226
0,5095,2931,498,2021,3,445
0,6977,614,3442,2011,2,226
0,3485,425,1584,2021,3,314
1,2275,1066,3262,2016,1,305
1,6628,1066,1362,2021,1,414
0,3623,2264,3034,2021,3,49
0,5897,3006,1663,2016,3,399
0,5553,273,5033,2019,3,220
0,171,2920,1877,2015,3,314
0,3115,1724,2433,2013,3,182
1,6383,1066,1455,2016,1,414
0,3036,3177,4927,2021,3,77
1,1508,1066,1362,2017,1,414
0,6734,1879,1362,2018,3,439
0,3110,3866,1021,2020,3,115
0,6262,572,712,2016,3,314
0,4147,1239,2310,2014,0,369
0,3378,2071,1126,2020,3,86
0,4254,1066,1362,2016,1,305
0,4544,2017,3449,2021,3,369
0,213,391,4685,2015,1,314
0,5983,1015,333,2011,3,439
0,5744,416,1362,2011,3,428
1,4818,1066,4203,2007,3,314
1,2807,1066,2637,2014,2,220
0,5649,4244,2593,2021,1,275
0,6629,3349,1698,2015,3,220
1,7080,1066,958,2011,1,414
1,533,1066,5357,2010,2,451
1,5034,1066,4504,2021,3,181
1,3939,1066,5603,2020,3,451
0,6149,2786,1019,2013,1,128
1,5192,1066,5163,2020,1,226
0,1630,3919,1362,2007,3,275
0,2672,3720,1708,2014,3,275
0,1869,1895,1446,2017,3,191
0,5201,1628,1410,2019,1,220
0,6651,3976,5289,2019,3,191
0,1448,1987,4371,2012,3,305
1,2064,1066,47,2020,2,325
0,6744,2099,4578,2017,1,337
1,5643,1066,2,2017,3,449
1,199,1066,2452,2012,3,182
0,4284,1739,4848,2011,1,430
1,3338,1066,1362,2018,3,449
0,4360,3858,774,2014,3,154
1,459,1066,1362,2006,2,0
0,3794,2722,4378,2019,3,430
0,598,1395,2978,2015,1,314
0,4193,874,557,2021,3,330
0,1510,1305,1749,2021,3,49
0,2209,3262,670,2021,3,400
0,1462,3136,5600,2020,3,226
0,3112,1066,1362,2007,3,439
0,1912,743,1362,2019,1,414
0,1406,1135,1417,2021,3,314
0,4274,3343,4030,2020,3,369
0,1231,1600,5372,2021,3,447
0,5448,1670,3248,2014,3,1
1,950,1066,3712,2014,1,443
0,3526,2282,3027,2019,3,391
0,539,2176,5280,2011,3,439
1,559,1066,2341,2017,2,281
0,4567,1145,3545,2017,3,220
0,1775,583,1350,2018,3,191
0,2137,1966,461,2019,3,303
0,2450,1168,3296,2007,0,391
0,6132,591,628,2012,3,170
0,5933,399,2865,2020,3,119
0,6143,3070,189,2018,3,369
0,5663,3066,3117,2009,2,49
0,788,2290,4025,2021,3,18
1,5215,1066,642,2018,3,220
0,1859,1105,2772,2014,3,275
0,5001,2807,2305,2014,3,30
0,936,3650,496,2018,3,30
0,2764,299,2784,2015,0,334
1,3398,1066,4838,2019,3,226
0,924,2107,276,2021,3,314
0,261,1709,739,2021,3,220
0,1232,2576,3483,2021,3,86
0,4097,3679,72,2016,0,226
0,6775,2171,4589,2021,3,433
0,4823,2811,154,2007,2,226
0,6322,2754,1362,2020,1,414
0,5258,2922,4216,2017,3,400
0,815,2408,4267,2010,1,430
0,2098,513,1666,2015,3,191
0,4156,2092,5053,2019,1,314
0,6389,256,4059,2020,3,220
0,626,3482,5402,2018,3,71
1,6787,1066,5159,2018,3,181
0,6984,2755,3179,2021,1,128
0,1648,3082,4577,2019,3,77
0,6420,58,2427,2019,0,391
0,1501,1978,970,2014,0,447
0,4037,20,763,2007,0,369
0,4954,1815,3566,2012,3,246
1,6000,1066,1315,2012,2,284
1,6932,1066,1362,2021,3,445
1,6810,1066,20,2018,3,314
1,4446,1066,571,2020,3,270
1,4773,1066,5034,2020,3,226
1,531,1066,1208,2010,2,275
0,4944,2639,767,2018,3,265
0,6554,2802,3144,2017,3,226
0,5816,2671,2987,2017,0,233
0,2274,431,5020,2021,3,233
1,1161,1066,5426,2021,3,57
0,4921,3368,875,2020,3,369
0,1920,3169,4564,2021,3,233
0,3534,4176,1362,2021,3,226
0,6618,1066,1,2021,3,314
0,5640,80,3710,2021,3,170
0,6962,3646,2029,2019,3,61
0,639,1144,1362,2021,3,0
0,2459,2984,1855,2008,3,191
1,4062,1066,1362,2021,1,128
1,6511,1066,2265,2021,3,262
0,3460,1066,1362,2021,1,414
0,1537,2087,2175,2011,0,226
0,203,3743,3481,2021,3,32
1,4332,1066,2872,2017,3,141
1,3934,1066,3673,2015,2,220
0,5203,2834,2172,2007,3,275
0,2474,3735,368,2006,0,400
0,2570,3419,2450,2016,0,207
0,7225,2344,984,2013,3,67
0,2901,3824,3250,2019,2,128
1,3493,1066,1362,2020,3,275
0,2298,2036,5523,2013,0,422
1,7138,1066,593,2020,3,451
0,1990,620,1362,2019,1,414
1,2726,1066,1362,2021,3,275
0,125,1477,3645,2018,3,437
0,3733,3634,3747,2019,3,339
0,5644,1414,3012,2008,2,405
0,3539,620,1878,2020,1,414
0,5027,2782,3778,2021,3,369
0,4850,536,516,2016,0,369
1,2714,1066,5508,2017,2,49
0,2907,1343,4225,2019,3,357
0,3116,2728,2433,2009,3,191
0,895,3498,1519,2009,3,183
0,1188,3578,38,2005,3,249
1,6447,1066,2040,2018,3,439
0,5098,1632,3886,2017,3,330
1,6763,1066,1928,2021,2,396
0,3487,1235,1617,2021,3,399
0,1749,1121,579,2015,3,369
0,4437,808,2383,2021,3,86
0,845,1421,3691,2009,1,220
0,3864,1701,4716,2008,3,220
0,2008,1999,5386,2016,3,330
1,1330,1066,5344,2020,3,90
0,1143,1377,2775,2009,2,220
0,4137,3034,1246,2020,2,4
0,5346,416,1362,2011,3,220
1,4002,1066,1541,2017,3,314
0,1668,2231,5322,2019,0,1
0,1078,279,4676,2014,3,220
0,6440,2699,3638,2021,3,268
0,2347,1775,4530,2014,3,0
1,771,1066,1362,2021,1,128
1,4592,1066,3316,2005,1,128
0,4533,4251,5172,2021,3,346
0,4364,3919,5219,2015,3,275
1,4381,1066,2804,2014,0,314
0,6928,2631,2998,2021,3,436
0,4230,3533,3845,2019,3,191
1,4599,1066,1362,2020,1,128
0,5699,3071,1362,2021,1,128
0,4207,1536,362,2017,3,6
1,1183,1066,2202,2015,2,439
0,3729,4065,3270,2019,3,54
0,4841,4046,728,2014,3,86
0,3617,2320,2611,2017,3,226
0,6565,3896,5420,2015,3,220
0,2991,2428,3314,2021,3,400
1,5014,1066,1696,2020,1,295
0,2929,608,1362,2017,1,305
0,4494,165,5384,2015,3,226
0,3258,1724,2790,2013,3,191
0,3632,3097,473,2020,3,314
1,1073,1066,1362,2016,1,128
0,3342,1893,2520,2013,3,314
1,1737,1066,5353,2015,2,220
0,4208,1609,4856,2019,3,304
0,2509,4117,4549,2020,3,170
1,1021,1066,5016,2016,1,414
0,369,406,5312,2018,3,357
0,5183,3819,710,2015,0,314
0,6280,3769,3375,2020,3,314
0,6077,1607,2069,2020,3,391
0,1810,2681,5279,2020,3,86
1,2931,1066,1859,2014,2,305
1,3661,1066,4499,2009,3,18
0,7023,3600,250,2019,1,213
1,4542,1066,1362,2012,2,443
0,3131,481,2404,2006,2,274
1,949,1066,735,2020,3,61
0,6183,1947,1030,2021,3,220
1,3303,1066,1362,2015,2,439
0,4298,2895,1154,2013,2,357
0,7190,1901,1362,2015,3,275
0,1013,2349,4202,2009,3,314
0,1180,2308,3524,2020,3,195
0,5200,4103,4755,2015,3,233
1,6761,1066,3969,2019,1,49
0,4557,3257,4201,2007,0,391
0,503,2015,1270,2013,1,414
0,2887,1254,3748,2021,3,226
0,2457,2414,1851,2014,3,191
1,7165,1066,4113,2020,3,192
0,3133,3662,4719,2017,3,391
0,3899,3351,3630,2021,3,275
1,6796,1066,629,2012,0,182
1,1285,1066,5611,2015,3,49
0,2573,2640,1750,2020,3,314
0,7100,2068,5639,2016,3,244
0,37,52,4367,2020,3,369
0,5275,2754,1362,2020,1,414
0,4871,2231,2632,2011,2,220
0,2854,1346,2851,2020,3,364
0,7218,3713,5253,2021,3,369
0,6937,3259,3833,2006,0,374
0,5141,1066,1362,2011,3,428
0,1187,4249,1389,2017,3,391
0,3950,1018,3688,2008,3,181
0,4266,747,2571,2021,3,86
0,4855,2484,1362,2021,3,391
0,3863,1700,848,2008,2,220
0,1472,3003,2472,2018,0,165
0,4475,2485,3597,2020,3,61
0,2484,620,1362,2019,1,414
0,3497,2527,4975,2006,0,226
0,3921,3258,4340,2018,3,333
0,83,1066,3264,2017,1,386
1,5899,1066,2225,2014,3,128
1,6078,1066,1123,2017,2,449
0,1868,2230,1444,2009,3,305
1,910,1066,1274,2014,2,284
1,2326,1066,4107,2014,3,449
0,42,2470,1362,2020,1,439
0,7043,4184,1362,2019,1,128
0,3231,3374,3714,2021,3,66
0,3097,1769,2338,2014,3,191
0,1377,3566,4822,2020,3,220
0,7052,2214,5665,2015,0,330
0,3090,3299,2337,2014,3,191
0,6054,2641,3581,2021,3,334
0,5430,222,910,2020,3,220
0,5910,2651,2345,2019,1,287
0,3887,577,1445,2019,3,80
0,611,2886,4391,2009,3,369
0,1871,1278,4752,2006,3,54
0,6423,770,1023,2021,3,81
0,5787,2008,5529,2008,0,86
0,2063,3699,1728,2021,3,357
1,1660,1066,1136,2013,2,117
0,5344,3594,1362,2021,3,391
0,3771,797,3937,2018,0,400
0,6083,788,1599,2014,3,61
0,3691,1079,4185,2021,3,430
0,1889,3852,35,2008,3,249
0,3713,535,2695,2017,1,226
0,2324,3773,5018,2020,3,61
1,4933,1066,4357,2017,1,439
0,2161,4113,3221,2020,3,234
0,4580,2857,1719,2020,3,314
0,6996,2072,29,2018,0,369
0,800,233,1362,2020,3,306
0,921,2780,3350,2021,3,357
0,4372,3560,5614,2015,3,49
0,1022,3770,5016,2021,1,414
0,2054,743,1362,2019,1,414
0,3182,2621,1362,2021,2,195
0,4057,2990,4431,2020,3,226
0,2709,1871,3412,2021,3,49
0,4508,1872,4317,2020,3,244
0,4058,3110,1362,2021,3,0
0,6764,1166,1362,2021,1,129
0,3981,2822,4546,2019,1,226
1,4421,1066,5127,2017,0,361
0,1165,3254,727,2019,2,49
0,6815,195,1362,2020,3,314
0,2384,583,1795,2019,3,191
0,3093,2415,2337,2012,3,191
1,3609,1066,517,2018,1,414
0,1932,1749,4161,2019,3,314
1,2970,1066,1362,2016,3,305
0,3278,3629,4897,2019,3,229
0,3496,3062,881,2019,3,61
0,3183,2817,4103,2020,0,370
0,712,1932,2552,2016,3,305
0,1778,3271,3816,2016,3,200
1,3164,1066,1362,2020,3,128
0,1344,3355,4657,2005,3,314
0,1301,3758,2866,2008,2,357
0,6178,104,2077,2013,1,305
0,196,2470,1362,2016,1,439
0,3551,2754,1362,2020,1,414
0,5785,416,1362,2007,3,428
0,5230,300,2055,2015,3,67
0,1588,3574,1163,2020,3,49
1,4256,1066,5675,2019,1,414
0,3361,3843,457,2017,3,314
0,5520,1640,3500,2018,3,49
0,4749,3289,3917,2012,0,436
1,7101,1066,2031,2020,3,357
0,2365,2747,4571,2021,3,357
0,7124,620,1362,2019,1,414
0,1203,2396,1683,2020,3,369
0,2305,759,5266,2008,3,275
1,5979,1066,1362,2014,2,305
1,7030,1066,3718,2019,1,314
0,1122,918,2625,2015,0,217
0,4893,3365,3041,2014,3,398
0,544,651,3594,2013,3,305
1,3357,1066,1362,2011,3,414
0,318,1751,2312,2020,3,117
1,5990,1066,5152,2018,2,449
0,3910,2065,3095,2013,3,270
0,4313,620,3525,2015,1,414
0,135,2589,3501,2021,3,314
1,691,1066,718,2015,0,361
0,6596,1066,1362,2007,3,428
0,725,2644,4996,2006,0,86
1,5186,1066,4739,2021,3,446
0,1825,330,4756,2009,3,229
0,616,3175,1421,2018,3,314
0,2984,1442,3297,2012,3,296
0,1323,1030,4036,2010,3,4
0,1438,0,0,2021,1,111
0,4423,2911,4163,2019,3,220
1,6639,1066,5259,2020,3,449
0,3992,2622,2809,2007,1,368
0,7187,2470,389,2016,1,389
0,1039,2059,3240,2020,3,80
1,1263,1066,3963,2019,3,324
1,1673,1066,75,2018,1,414
0,6848,2750,3768,2020,3,61
0,365,3275,4664,2007,3,61
0,3833,893,1362,2020,1,128
1,864,1066,2217,2014,3,225
0,2093,583,1658,2021,3,191
1,5139,1066,1362,2005,3,275
0,2644,2027,2638,2011,0,220
0,682,2423,3942,2017,1,414
1,3742,1066,1988,2021,3,443
1,1119,1066,715,2014,2,449
0,1233,1374,183,2009,0,226
0,440,3828,3808,2019,3,337
1,5775,1066,1362,2008,3,299
0,4272,940,854,2020,3,361
0,1677,583,1207,2021,3,188
0,698,3879,5163,2019,1,220
0,6831,2848,2788,2021,3,244
0,1862,2070,5224,2019,3,447
1,5277,1066,221,2008,1,414
0,3483,416,1362,2011,3,215
1,6392,1066,762,2021,3,30
0,6998,637,1757,2015,3,305
1,5465,1066,1362,2016,3,449
0,4126,766,1746,2019,3,314
0,5795,3640,4133,2021,3,226
1,3306,1066,3973,2018,0,310
1,2973,1066,4994,2012,2,314
1,6816,1066,4474,2019,3,122
0,6789,2411,4844,2013,1,430
1,1185,1066,5414,2020,3,305
0,2798,3014,1362,2017,3,275
0,4986,2275,3725,2013,3,226
0,2080,2106,4011,2016,3,275
0,4239,1886,1828,2021,3,226
0,5311,1066,1362,2019,1,414
1,6105,1066,1176,2019,3,220
0,2760,2443,4610,2020,3,314
0,5042,2728,4526,2016,2,428
1,4581,1066,5153,2018,3,361
0,5543,1633,2932,2016,3,447
0,6055,551,4584,2017,3,226
0,25,3215,1071,2021,3,400
0,229,2318,4319,2019,3,351
0,5582,1342,340,2018,3,220
0,5622,3809,933,2019,3,0
0,2123,620,1362,2019,1,414
0,4889,2470,1362,2012,1,179
1,870,1066,4262,2020,3,220
1,6901,1066,4955,2009,1,449
0,292,1642,1362,2017,3,276
0,5727,729,1362,2021,3,391
0,5625,1262,5162,2020,3,357
0,5884,1909,1311,2015,3,226
1,5521,1066,245,2016,2,305
0,772,620,1362,2019,1,414
0,3552,2754,1362,2020,1,414
0,4747,3879,5163,2019,1,220
0,2369,3440,3660,2009,3,314
0,3327,3302,3719,2020,3,305
0,273,504,5113,2017,3,447
0,1105,2470,1362,2019,1,439
0,5357,1378,2150,2010,3,447
0,4901,3946,660,2007,0,314
1,2352,1066,5669,2021,3,49
1,7004,1066,1362,2017,1,414
0,1043,2918,4402,2018,3,391
0,2618,2771,5358,2021,3,430
0,4709,1493,1896,2016,3,447
0,4477,821,632,2020,3,369
0,3256,3882,5491,2017,3,220
1,127,1066,2661,2016,3,389
0,4750,2709,3303,2017,3,314
0,136,848,1967,2019,3,75
0,2154,345,1685,2017,3,191
0,5821,3675,1932,2012,3,343
1,2723,1066,4070,2016,1,305
1,5976,1066,70,2019,2,449
0,6161,2025,2630,2015,3,220
1,162,1066,2904,2018,3,449
0,5772,24,4207,2020,3,436
0,78,1066,3264,2020,1,386
0,2730,784,1362,2020,3,275
0,4655,2769,5331,2013,3,436
0,2036,860,865,2010,3,244
1,2583,1066,2984,2008,1,128
0,4071,3476,2514,2021,3,49
0,3169,304,1104,2016,0,30
0,3585,3527,41,2020,3,357
0,3676,4011,3513,2020,3,400
0,2152,516,1583,2017,3,255
0,6282,1851,1902,2020,3,86
1,5953,1066,1362,2016,1,305
1,3956,1066,1362,2014,3,298
0,3789,2429,3485,2018,3,368
0,4525,4121,4642,2018,3,226
0,3359,664,1701,2007,0,0
0,2160,1189,749,2020,3,314
0,1918,2498,304,2021,2,219
0,5716,582,1642,2013,3,99
0,4666,313,3936,2017,3,226
1,3266,1066,2862,2021,1,376
0,5920,1096,1431,2005,0,0
0,2480,886,1362,2019,3,255
0,6343,1203,1484,2016,1,275
0,4100,2122,3826,2021,3,369
0,3444,3025,3108,2020,3,314
1,1092,1066,1362,2018,2,284
0,6321,2754,1362,2020,1,414
0,3608,2643,2777,2019,3,237
0,6158,524,3470,2011,0,369
0,7181,2470,412,2014,1,389
0,5086,4032,3888,2015,3,220
0,5943,2908,1048,2021,3,61
1,3556,1066,2064,2021,3,357
1,3383,1066,5086,2019,1,414
0,3178,3035,3405,2016,3,296
0,1038,3227,1368,2019,0,49
0,134,2538,16,2019,3,183
0,2426,820,5109,2014,3,422
0,4488,1648,316,2014,3,308
0,6061,1066,1530,2011,3,314
0,2015,3296,2363,2005,2,0
0,1139,4016,741,2020,3,191
0,204,2470,412,2014,1,439
1,1081,1066,3325,2016,1,414
0,4695,580,3050,2013,3,400
0,1505,2926,2047,2021,3,314
1,2009,1066,342,2020,3,54
1,1541,1066,1362,2015,2,439
1,1410,1066,1362,2008,2,305
0,3721,4044,5199,2021,3,369
0,6483,2717,258,2009,3,220
